-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                Activity Buffer Request         0.15%     159.820us         0.15%     159.820us     159.820us       1.120us         0.00%       1.120us       1.120us             1  
                  execute_context_1(11)_generation_0(0)         3.65%       3.934ms        64.49%      69.467ms      69.467ms       0.000us         0.00%       2.200ms       2.200ms             1  
                                            aten::slice         0.48%     515.957us         0.68%     730.720us       1.997us       0.000us         0.00%       0.000us       0.000us           366  
                                       aten::as_strided         0.42%     451.770us         0.42%     451.770us       0.651us       0.000us         0.00%       0.000us       0.000us           694  
                                        cudaMemcpyAsync         0.54%     583.153us         0.54%     583.153us       7.289us       0.000us         0.00%       0.000us       0.000us            80  
                                       aten::lift_fresh         0.01%       8.721us         0.01%       8.721us       0.872us       0.000us         0.00%       0.000us       0.000us            10  
                                          aten::flatten         0.02%      20.182us         0.04%      44.025us       4.403us       0.000us         0.00%       0.000us       0.000us            10  
                                             aten::view         0.04%      44.762us         0.04%      44.762us       1.492us       0.000us         0.00%       0.000us       0.000us            30  
                                     aten::index_select         0.03%      28.964us         0.03%      28.964us       2.896us       0.000us         0.00%       0.000us       0.000us            10  
                                       cudaLaunchKernel         0.94%       1.015ms         1.11%       1.192ms       9.311us       0.000us         0.00%       3.040us       0.024us           128  
                                        cudaEventRecord         0.04%      41.974us         0.04%      41.974us       1.749us       0.000us         0.00%       0.000us       0.000us            24  
                                      Pregraph bytecode         0.42%     452.568us         0.42%     452.568us     226.284us       0.000us         0.00%       0.000us       0.000us             2  
                    vllm::unified_attention_with_output         2.24%       2.410ms        54.60%      58.812ms       1.050ms       0.000us         0.00%     300.445us       5.365us            56  
                                           aten::unbind         0.16%     177.050us         0.45%     488.385us       8.721us       0.000us         0.00%       0.000us       0.000us            56  
                                           aten::select         0.20%     210.124us         0.31%     328.813us       2.740us       0.000us         0.00%       0.000us       0.000us           120  
                                           aten::expand         0.20%     214.339us         0.28%     304.053us       1.810us       0.000us         0.00%       0.000us       0.000us           168  
                                       aten::empty_like         0.08%      83.771us         0.28%     302.051us       5.394us       0.000us         0.00%       0.000us       0.000us            56  
                                    aten::empty_strided         0.37%     402.658us         0.43%     466.465us       4.859us       0.000us         0.00%       0.000us       0.000us            96  
                                 cudaDeviceGetAttribute         0.03%      31.145us         0.03%      31.145us       0.278us       0.000us         0.00%       0.000us       0.000us           112  
                                            aten::empty         0.22%     239.491us         0.22%     239.491us       2.138us       0.000us         0.00%       0.000us       0.000us           112  
                                   cudaFuncSetAttribute         0.07%      72.239us        50.19%      54.060ms     965.364us       0.000us         0.00%      16.320us       0.291us            56  
                                               aten::to         0.05%      48.881us         0.95%       1.026ms      20.523us       0.000us         0.00%      59.617us       1.192us            50  
                                         aten::_to_copy         0.10%     104.151us         0.91%     977.271us      24.432us       0.000us         0.00%      59.617us       1.490us            40  
                                          aten::reshape         0.01%      10.016us         0.02%      20.990us       2.099us       0.000us         0.00%       0.000us       0.000us            10  
                                           aten::linear         0.03%      28.404us         6.18%       6.660ms     666.008us       0.000us         0.00%       6.534ms     653.416us            10  
                                                aten::t         0.02%      25.044us         0.04%      46.989us       4.699us       0.000us         0.00%       0.000us       0.000us            10  
                                        aten::transpose         0.01%      14.534us         0.02%      21.945us       2.195us       0.000us         0.00%       0.000us       0.000us            10  
                                           aten::matmul         0.02%      19.808us         6.11%       6.585ms     658.468us       0.000us         0.00%       6.534ms     653.416us            10  
cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFla...         0.02%      23.044us         5.73%       6.168ms       6.168ms       0.000us         0.00%       1.508ms       1.508ms             1  
                                            aten::alias         0.01%      12.489us         0.01%      12.489us       1.249us       0.000us         0.00%       0.000us       0.000us            10  
                                        cudaMemsetAsync         0.05%      58.129us         0.05%      58.129us       5.813us       0.000us         0.00%       0.000us       0.000us            10  
                                        aten::unsqueeze         0.01%      12.178us         0.02%      16.204us       1.620us       0.000us         0.00%       0.000us       0.000us            10  
                               cudaEventRecordWithFlags         0.03%      33.392us         0.03%      33.392us       1.670us       0.000us         0.00%       0.000us       0.000us            20  
                                    cudaStreamWaitEvent         0.01%      12.611us         0.01%      12.611us       1.261us       0.000us         0.00%       0.000us       0.000us            10  
                                          cudaHostAlloc         0.05%      50.336us         0.05%      50.336us      16.779us       0.000us         0.00%       0.000us       0.000us             3  
                                   cudaEventSynchronize        15.24%      16.414ms        19.60%      21.116ms     918.077us       0.000us         0.00%       3.135ms     136.296us            23  
                   execute_context_0(0)_generation_1(1)         8.23%       8.870ms        10.18%      10.961ms       1.370ms       0.000us         0.00%       1.025ms     128.089us             8  
                                         cudaEventQuery         0.01%      13.471us         0.01%      13.471us       1.225us       0.000us         0.00%       0.000us       0.000us            11  
                   execute_context_0(0)_generation_0(0)         0.59%     637.986us         0.60%     647.571us     161.893us       0.000us         0.00%       0.000us       0.000us             4  
                  execute_context_1(17)_generation_0(0)         1.31%       1.414ms         4.55%       4.902ms       4.902ms       0.000us         0.00%     652.928us     652.928us             1  
                                  cudaDeviceSynchronize         0.13%     142.394us         0.13%     142.394us     142.394us       0.000us         0.00%       0.000us       0.000us             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 107.711ms
Self CUDA time total: 29.017ms

